Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-05-02 21:10:30.200,2026-05-02 21:10:50.954,normal,0,
Up,2026-05-02 21:10:50.954,2026-05-02 21:10:51.468,normal,0,
Left,2026-05-02 21:10:51.468,2026-05-02 21:10:51.721,normal,0,
Up,2026-05-02 21:10:51.721,2026-05-02 21:10:52.015,normal,0,
Right,2026-05-02 21:10:52.015,2026-05-02 21:10:52.078,normal,0,
Down,2026-05-02 21:10:52.078,2026-05-02 21:10:52.543,normal,0,
Right,2026-05-02 21:10:52.543,2026-05-02 21:10:52.874,normal,0,
Left,2026-05-02 21:10:52.874,2026-05-02 21:10:53.394,normal,0,
Up,2026-05-02 21:10:53.394,2026-05-02 21:10:55.003,normal,0,
Left,2026-05-02 21:10:55.003,2026-05-02 21:10:55.034,normal,0,
